"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,5737.654016,173.793876,"us/op",2,"NORMAL(100000,10)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,5352.135695,8.386941,"us/op",2,"NORMAL(100000,10)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,5162.059839,36.739570,"us/op",2,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,1311.790850,15.778006,"us/op",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,7776.903589,127.702239,"us/op",2,"UNIFORM(0,100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,6965.808867,209.461625,"us/op",2,"UNIFORM(0,100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,7596.220880,264.263855,"us/op",2,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,6849.597823,198.657077,"us/op",2,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,11399.483990,656.852906,"us/op",2,"UNIFORM(1000000,1100000)",SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,11653.437338,680.799633,"us/op",2,"UNIFORM(1000000,1100000)",GENERIC,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,11274.767987,55.035959,"us/op",2,"UNIFORM(1000000,1100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,6679.089116,76.064336,"us/op",2,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,3160.412985,17.252597,"us/op",2,EXP(0.0001),SPECIALIZED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,3179.054281,37.369601,"us/op",2,EXP(0.0001),GENERIC,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,2895.887650,17.030455,"us/op",2,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.lte","avgt",1,5,2906.623855,31.897933,"us/op",2,EXP(0.0001),RELATIVE,10000000,42
