"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,3956732.349800,1816609.149047,"us/op",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,85.000000,NaN,"#",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,38054250.000000,NaN,"#",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,3953493.752600,1791399.778512,"us/op",2,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,85.000000,NaN,"#",2,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,38054250.000000,NaN,"#",2,"NORMAL(100000,10)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,2405144.597800,156847.911632,"us/op",2,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,85.000000,NaN,"#",2,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,81249835.000000,NaN,"#",2,"NORMAL(100000,10)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,4062384.911000,2087432.076245,"us/op",2,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,85.000000,NaN,"#",2,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,106641680.000000,NaN,"#",2,"UNIFORM(0,100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,4056002.230600,2098187.996580,"us/op",2,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,85.000000,NaN,"#",2,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,106641680.000000,NaN,"#",2,"UNIFORM(0,100000)",TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,2444940.129000,153754.037606,"us/op",2,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,85.000000,NaN,"#",2,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,106249960.000000,NaN,"#",2,"UNIFORM(0,100000)",UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,3875422.666200,1688487.248021,"us/op",2,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,105.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,131733840.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",RELATIVE,10000000,42
